Gene_ID	Pathway_ID
SAOUHSC_00517	sao00001;sao03021;sao03009
SAOUHSC_00518	sao00001;sao03011
SAOUHSC_00519	sao00001;sao03011
SAOUHSC_00520	sao00001;sao03011
SAOUHSC_00521	sao00001;sao03011
SAOUHSC_00523	sao00001;sao01000;sao03009
SAOUHSC_00524	sao00001;sao03400;sao03021;sao01000
SAOUHSC_00525	sao00001;sao03400;sao03021;sao01000
SAOUHSC_00526	sao00001;sao03011
SAOUHSC_00527	sao00001;sao03011
SAOUHSC_00528	sao00001;sao03011
SAOUHSC_00529	sao03012;sao00001;sao03029
SAOUHSC_00530	sao03012;sao00001;sao03029;sao04147
SAOUHSC_00532	sao00001;sao01007;sao01000
SAOUHSC_00533	sao00001;sao01002;sao01000
SAOUHSC_00534	sao00001;sao01000
SAOUHSC_00536	sao00001;sao01007;sao01000
SAOUHSC_00538	sao00001;sao01000
SAOUHSC_00539	sao00001;sao01000
SAOUHSC_00540	sao00001;sao01000
SAOUHSC_00541	sao00001;sao03016;sao01000
SAOUHSC_00544	sao00001
SAOUHSC_00545	sao00001
SAOUHSC_00547	sao00001;sao01003;sao01000
SAOUHSC_00548	sao00001;sao01003;sao01000
SAOUHSC_00549	sao00001;sao01000
SAOUHSC_00550	sao00001
SAOUHSC_00552	sao00001;sao01000
SAOUHSC_00553	sao00001;sao01000
SAOUHSC_00554	sao00001;sao01000
SAOUHSC_00555	sao00001;sao01000
SAOUHSC_00556	sao00001;sao02000
SAOUHSC_00558	sao00001;sao04147;sao01000
SAOUHSC_00562	sao00001;sao01000
SAOUHSC_00564	sao00001;sao03400;sao01000
SAOUHSC_00573	sao00001;sao01000
SAOUHSC_00574	sao00001;sao01000
SAOUHSC_00575	sao00001;sao01000
SAOUHSC_00577	sao00001;sao01000
SAOUHSC_00578	sao00001;sao01000
SAOUHSC_00579	sao00001;sao01000
SAOUHSC_00581	sao00001
SAOUHSC_00603	sao00001
SAOUHSC_00606	sao00001
SAOUHSC_00608	sao00001;sao01000
SAOUHSC_00611	sao00001;sao03016;sao03029;sao01007;sao01000
SAOUHSC_00612	sao00001
SAOUHSC_00613	sao00001;sao02000
SAOUHSC_00614	sao00001;sao02000
SAOUHSC_00615	sao00001
SAOUHSC_00621	sao00001;sao02000
SAOUHSC_00625	sao00001;sao02000
SAOUHSC_00626	sao00001;sao02000
SAOUHSC_00627	sao00001;sao02000
SAOUHSC_00628	sao00001;sao02000
SAOUHSC_00629	sao00001;sao02000
SAOUHSC_00632	sao00001;sao02000
SAOUHSC_00633	sao00001;sao02000
SAOUHSC_00634	sao00001;sao02000
SAOUHSC_00636	sao00001;sao02000
SAOUHSC_00637	sao00001;sao02000;sao01000
SAOUHSC_00638	sao00001;sao03000
SAOUHSC_00640	sao00001;sao01003;sao01000
SAOUHSC_00641	sao00001;sao02000;sao01000
SAOUHSC_00642	sao00001;sao02000
SAOUHSC_00643	sao00001;sao01000
SAOUHSC_00645	sao00001;sao01000
SAOUHSC_00646	sao00001;sao01002;sao01011;sao01000
SAOUHSC_00647	sao00001;sao02000;sao01504;sao01000
SAOUHSC_00648	sao00001;sao02000
SAOUHSC_00652	sao00001;sao02000;sao01000
SAOUHSC_00653	sao00001;sao02000
SAOUHSC_00654	sao00001;sao02000
SAOUHSC_00655	sao00001;sao01000
SAOUHSC_00656	sao00001;sao01000
SAOUHSC_00658	sao00001;sao02000;sao01000
SAOUHSC_00665	sao00001;sao02022;sao01504
SAOUHSC_00666	sao00001;sao02022;sao01504;sao01001;sao01000
SAOUHSC_00667	sao00001;sao02000;sao01504
SAOUHSC_00668	sao00001;sao02000;sao01504
SAOUHSC_00669	sao00001
SAOUHSC_00670	sao00001
SAOUHSC_00672	sao00001
SAOUHSC_00676	sao00001
SAOUHSC_00678	sao00001
SAOUHSC_00682	sao00001
SAOUHSC_00689	sao00001
SAOUHSC_00691	sao00001;sao01011;sao01000
SAOUHSC_00692	sao00001;sao02000
SAOUHSC_00693	sao00001;sao02000
SAOUHSC_00694	sao00001;sao03000;sao01504
SAOUHSC_00699	sao00001;sao03400;sao01000
SAOUHSC_00702	sao00001
