"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_02521",5.70061232177748,1.37911926865859,0.910603328217859,1.51451156164524,0.12989614372075,0.195505451606854
"SAOUHSC_02522",878.076667617874,0.969102674814779,0.426917909756937,2.26999770369562,0.0232077223699551,0.0433678014230691
"SAOUHSC_02523",153.894610518191,-0.0428990652538629,0.533507394899394,-0.0804095044679794,0.93591156791163,0.948566831425018
"SAOUHSC_02524",1617.38621882236,0.899839377509884,0.309403329226147,2.90830541403832,0.00363393247656043,0.00835773061376604
"SAOUHSC_02525",8201.30030831799,-0.285957747386634,0.276157210878816,-1.0354889755608,0.300440612331785,0.392090470532065
"SAOUHSC_02527",5171.11903290122,-0.148572659774633,0.278132590515975,-0.534179254214723,0.593217520898321,0.672255769138486
"SAOUHSC_02528",128.883160722425,-2.0397251898136,0.540425146036391,-3.77429733751926,0.000160459289580229,0.000507707692714614
"SAOUHSC_02529",1001.73451202643,-0.880264527873695,0.24458829449964,-3.59896425000417,0.000319487101036702,0.00095095657254884
"SAOUHSC_02530",772.190651559157,4.38502086627986,0.633132482592949,6.92591359129344,4.33170816276951e-12,4.78285287183803e-11
"SAOUHSC_02531",2370.81339517656,4.6840892866328,0.440764318671285,10.6271970942505,2.22705263170457e-26,1.1181485005596e-24
"SAOUHSC_02532",2685.52516355829,3.89222079386153,0.497172325229272,7.82871571153248,4.92878718906839e-15,7.94878952127939e-14
"SAOUHSC_02533",4.75590953435958,3.79954502335855,1.26996273626069,2.99185552053759,0.00277287460144119,0.006564607930992
"SAOUHSC_02534",188.228551291566,-0.779870356525988,0.726286602836632,-1.07377769806035,0.282922327815381,0.374555380257079
"SAOUHSC_02535",26.8077053749878,0.787370525407759,0.535611459954658,1.47004047574787,0.141550792014856,0.209492023109863
"SAOUHSC_02536",3316.14101135909,-0.222943636061844,0.262261748389865,-0.850080644358505,0.395280251956462,0.48718886079488
"SAOUHSC_02537",1120.42551310195,-0.63008574036096,0.392434564784577,-1.60558166100083,0.108365857539536,0.166972522821485
"SAOUHSC_02538",287.976752679258,-0.249587398828699,0.524070098228097,-0.476248119617135,0.63389762149797,0.710531411460024
"SAOUHSC_02540",841.984192836583,-0.039842078523117,0.288391026762857,-0.138152975736929,0.890119518556101,0.911003091876071
"SAOUHSC_02541",773.633272500371,0.0866821155525492,0.265449908379241,0.326547920403532,0.744009839236388,0.804800887076435
"SAOUHSC_02542",1791.18235087338,-0.122069479948718,0.430577041603305,-0.283502063868008,0.776791999797176,0.82740718428978
"SAOUHSC_02543",1741.47412605738,0.0635781188201363,0.20995683048916,0.302815196209674,0.762030701923751,0.81614063639924
"SAOUHSC_02544",712.140712165596,-0.0553870415647133,0.392807583137122,-0.141002984520741,0.887867584594405,0.909748033348368
"SAOUHSC_02545",1075.63165121473,-0.216397569522153,0.244192947145559,-0.886174527363243,0.375523487708707,0.468919756355171
"SAOUHSC_02546",1160.70548078784,0.187378114649338,0.383088227059921,0.489125223417604,0.624753044994459,0.701759329983223
"SAOUHSC_02547",1042.68706299762,0.314528021041802,0.272242160267195,1.15532443884924,0.247957591720884,0.336400345174945
"SAOUHSC_02549",957.798900835384,-0.359486216584445,0.257863147256337,-1.39409690919147,0.163288342418927,0.237048706588524
"SAOUHSC_02550",1453.17699748483,0.915788145539887,0.470858166147751,1.94493418906219,0.0517828995373074,0.0877112002983928
"SAOUHSC_02551",920.029175438421,1.44838770275387,0.239611277957503,6.04473927563105,1.49651806387476e-09,1.17124546116786e-08
